timestamp,phase,active,reactive,current,freq,thd,voltage,hm0,hm1,hm2,hm3,hm4,hm5,hm6,hm7,hm8,anomaly
2025-01-18T12:08:49.607146,0.0,1.5,-1.5,0.9,50.0,57.8,237.2,18.5,42.3,48.4,85.6,43.3,61.8,89.3,60.0,129.4,False
2025-01-18T12:08:49.839489,1.0,0.0,-0.0,0.2,50.01,30.7,239.2,17.8,144.5,157.0,135.5,125.4,208.4,319.0,50.5,351.0,False
2025-01-18T12:08:50.054787,2.0,3.0,0.0,1.3,50.0,32.9,240.9,100.0,74.3,160.2,170.6,151.8,359.0,567.8,44.5,523.4,False
2025-01-18T19:21:57.840472,0.0,0.8,-1.5,0.7,50.03,54.0,236.6,63.9,136.5,65.6,258.3,139.7,38.7,70.1,136.0,127.9,False
2025-01-18T19:21:58.070359,1.0,0.8,-1.5,0.3,50.01,30.0,238.7,22.8,72.1,62.2,145.3,37.5,174.3,33.3,101.6,77.5,False
2025-01-18T19:21:58.250100,2.0,0.8,-3.0,0.8,50.03,29.9,240.6,100.0,128.4,61.7,60.2,34.0,255.1,118.6,89.5,110.0,False
2025-01-18T19:24:57.844802,0.0,3.0,-5.3,2.5,50.03,54.7,236.4,100.0,135.6,27.6,135.5,204.0,177.3,33.2,97.0,148.6,False
2025-01-18T19:24:57.943322,1.0,3.8,-2.3,1.6,50.03,27.8,238.1,43.2,12.6,63.8,100.4,33.5,80.8,94.4,6.8,64.8,False
2025-01-18T19:24:58.029591,2.0,3.0,-4.5,2.5,50.03,29.4,240.3,87.2,174.0,71.1,85.1,126.9,51.6,62.6,146.2,104.2,False
2025-01-18T19:27:57.843104,0.0,3.0,-9.1,3.2,50.04,53.7,237.7,100.0,124.3,33.0,73.6,129.0,123.9,33.3,40.4,51.8,False
2025-01-18T19:27:57.930571,1.0,3.8,-6.8,2.0,50.04,29.9,239.7,46.8,2.7,101.5,57.9,8.7,45.8,58.7,11.9,36.0,False
