sensor,phase,event,seq,active,reactive,current,voltage,frequency,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,tr0,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,draw,power,thd,shift,capture,lag
997.0,0,5.0,88534.0,1.5,-0.8,0.008,236.9,50.0,19.8,28.3,32.9,51.2,101.0,45.0,60.6,85.0,88.8,-56.8,-63.6,-81.8,-90.9,-86.4,-86.4,-84.1,-100.0,86.4,100.0,12391618.2,288.5,57.9,58.5,968.0,16i 1731991061006130855 
997.0,1,5.0,88535.0,0.8,1.5,0.007,237.7,50.02,100.0,15.2,193.5,293.8,100.1,393.9,265.5,129.1,387.4,51.0,34.2,15.5,-9.7,-39.4,-67.7,-88.4,-100.0,96.8,98.1,1068603.1,401.5,32.2,21.1,968.0,16i 1731991061006130855 
997.0,2,5.0,88536.0,0.8,0.8,0.006,240.7,50.01,66.9,149.8,44.0,205.5,170.0,107.3,252.3,117.6,39.4,48.9,30.5,12.1,-5.6,-28.5,-54.8,-78.4,-100.0,100.0,98.7,4535402.7,316.9,30.5,-26.3,968.0,16i 1731991061006130855 
997.0,0,5.0,88537.0,0.0,-3.1,0.012,236.8,49.99,100.0,81.0,217.6,435.4,561.6,269.2,226.7,310.4,213.9,-58.9,-35.1,-4.0,26.6,50.8,68.1,84.3,96.0,100.0,-94.4,12391632.6,288.5,58.7,58.3,966.0,16i 1731991241001169318 
997.0,1,5.0,88538.0,1.5,-3.1,0.015,237.6,50.0,62.4,75.6,89.0,75.1,63.1,143.7,105.0,13.3,107.2,-66.2,-79.7,-85.4,-86.8,-87.4,-89.5,-91.3,-93.4,-100.0,100.0,1068623.2,403.1,30.1,21.4,966.0,16i 1731991241001169318 
997.0,2,5.0,88539.0,0.8,3.1,0.014,240.5,50.0,48.8,51.9,35.3,90.1,70.7,22.0,135.1,98.1,108.3,-99.3,-100.0,-83.8,-59.5,-30.4,2.0,37.8,74.3,100.0,-15.5,4535418.6,317.7,31.4,-26.7,966.0,16i 1731991241001169318 
997.0,0,5.0,88540.0,0.8,3.1,0.015,236.7,50.01,70.0,70.1,137.4,251.6,286.7,151.6,85.4,180.6,210.6,-8.6,-42.4,-69.8,-89.2,-100.0,-97.1,-87.1,-71.9,-56.8,-38.8,12391647.0,287.7,57.2,58.5,966.0,16i 1731991421013154341 
997.0,1,5.0,88541.0,1.5,3.1,0.014,237.4,50.0,55.4,45.1,72.7,65.4,41.2,98.0,79.1,7.9,44.7,18.2,24.5,24.5,17.6,12.6,20.8,36.5,52.2,64.2,73.6,1068643.4,401.5,32.2,21.1,966.0,16i 1731991421013154341 
997.0,2,5.0,88542.0,0.8,3.1,0.012,240.4,50.0,77.9,121.0,20.7,97.9,134.5,40.5,120.5,163.3,167.8,79.3,61.0,46.1,28.6,8.7,-7.1,-20.3,-36.9,-57.7,-76.8,4535434.5,316.9,31.2,-26.3,966.0,16i 1731991421013154341 
997.0,0,5.0,88543.0,0.8,2.3,0.007,236.3,50.01,23.4,57.1,39.5,96.9,79.1,78.9,87.9,61.9,19.5,-100.0,-88.0,-80.7,-85.5,-92.8,-88.0,-71.1,-34.9,15.7,61.4,12391661.4,286.9,58.8,58.5,966.0,16i 1731991601000829351 
